Geneid,logFC,AveExpr,t,P.Value,adj.P.Val,B
ILF3,7.470056362048619,2.5611178433558117,246.35743408754058,0,0,800.7150839160723
PRKDC,9.13059611015881,3.094660619217983,245.0365333960246,0,0,799.1635455613073
CCT2,7.07290328243184,2.385976831888587,244.90560585905948,0,0,799.00924775677
UPF1,5.502619982136299,1.8949212759090264,244.90378391260109,0,0,799.0070999463277
HNRNPUL2,7.013135284594702,2.4145746039355105,244.64847707296025,0,0,798.7059534508558
HNRNPL,7.1470436563916335,2.4467688487556423,243.81191146785707,0,0,797.7167179788681
RPS2,7.860891291990931,2.609500604840191,243.4170055600579,0,0,797.2484249630894
PABPC1,7.394245358634965,2.537743968921633,243.18195010723292,0,0,796.9692851757615
TKT,8.939687288612562,2.9577222666385716,242.83115452193834,0,0,796.5521376892979
HSPA5,9.320706269271202,3.1152844925801864,242.7818728727018,0,0,796.4934806917174
RRBP1,9.142460383580083,3.018004666859301,242.76210048416092,0,0,796.469943066008
EIF3B,5.672001028145654,1.93968892189056,242.01052387009898,0,0,795.5736551861461
PRDX1,8.661500829277678,2.8113766359913464,240.26046020971194,0,0,793.4745472547522
CDC42,6.306991866892901,2.084287052915042,239.7963956304714,0,0,792.9150693033208
ARCN1,6.181775061607164,2.129490265329366,239.13278653414332,0,0,792.1129230782738
PSMC4,5.703085542509315,1.9513864349660621,238.68454791552355,0,0,791.5697066281906
DHX15,6.440027940089418,2.2012252647391,237.707296930627,0,0,790.3814438819417
HNRNPC,8.338711408933671,2.8660854375804243,237.63945232476175,0,0,790.2987486369091
RPL12,6.520369306954297,2.19679435966582,237.51998543575365,0,0,790.1530676560834
AP2B1,6.541517661990104,2.1769917074302363,236.89708730484296,0,0,789.392169563486
SFPQ,7.610818512568145,2.6092080039947922,235.92970972944494,0,0,788.206062323603
EIF2S1,5.946256632158305,2.0685004349481577,235.79730589405887,0,0,788.0433016860926
RPSA,6.053171299369431,2.064563608394935,234.63424877517346,0,0,786.6092182372191
SPTAN1,8.571170298112614,2.8165017129230874,234.0774674907428,0,0,785.9199013028458
MAP4,7.226699955050517,2.437883903595522,233.95968253162076,0,0,785.7738463489885
HSP90AB1,9.500576475261695,3.1654878433772797,233.72488437473703,0,0,785.4824505064768
ARF1,6.343239234088691,2.1229002745270513,233.4853857005184,0,0,785.1848872318606
ARF3,6.343332760736927,2.122837620752992,233.04272814655812,0,0,784.6340210882361
PSMC6,5.421765921213575,1.8567791185711728,233.01170797835312,0,0,784.5953745973521
CCT6A,7.008417563028666,2.3572039855159446,232.8289764125586,0,0,784.36760288325
HSPA4,7.30244006003759,2.476750248245348,232.2234774721208,0,0,783.6114444492523
CALR,7.93796474367355,2.635366493818671,231.6953621617939,0,0,782.9501434363684
HSP90B1,9.673286492731274,3.166293107760891,231.66717223719579,0,0,782.9147974865176
SRSF1,7.164065539198443,2.4562092071117556,231.62388269910943,0,0,782.8605096316599
SPTBN1,8.312306087266416,2.71942815980606,231.50644886621754,0,0,782.7131836425258
VPS35,6.163707612215423,2.0490578578740974,231.46276556719934,0,0,782.6583599358054
SEC31A,6.40237595560096,2.1271790303429663,231.2336133612323,0,0,782.3705805491948
PLEC,10.490825355037968,3.499293197160623,229.4520069405886,0,0,780.1223716546833
NPEPPS,7.446977075746452,2.4940475972486955,229.42335420324736,0,0,780.0860576785116
UFL1,5.441113256302245,1.820622839560313,229.10471251452597,0,0,779.681879687345
PDIA3,9.160414903185167,3.0208403730692153,228.80084875889116,0,0,779.2958693662055
SNRNP200,6.608527777817317,2.283368591510016,227.36106179445827,0,0,777.4591452633764
RHOA,6.5622993689683655,2.1856635708562853,227.2947710888188,0,0,777.3742708198491
LMNA,9.544880319059121,3.180201834469371,226.56666296287864,0,0,776.4402519223061
RBMX,7.699270256252963,2.6387081189462585,226.41792892125642,0,0,776.2490497142193
SEC24C,5.76655666473909,1.9339231483888506,226.07021361415028,0,0,775.8015119635514
CTNNA1,7.440948541683501,2.46326603183916,225.86599074311155,0,0,775.5383079720256
SF3B1,6.502497107745514,2.235054109299996,225.71927690050688,0,0,775.3490606705718
RPS16,7.265749442417495,2.4453771630484784,225.60021263063936,0,0,775.1953794450499
WDR1,7.453249859141769,2.525279223467673,224.38910258268646,0,0,773.6270720767053
MSN,9.074401410297877,2.937601954512232,223.64831902754443,0,0,772.6632230363033
PSMD1,5.621402436453802,1.9122706397645732,223.5123097270322,0,0,772.4858782524857
DDX17,7.630064976113018,2.62221466348767,223.51037365850053,0,0,772.4833529269567
ILF2,6.592398787897772,2.2716073216472448,223.48868175306433,0,0,772.4550572882378
MATR3,6.933836857985025,2.3958808071271043,222.31785040434514,0,0,770.9233062632742
SSB,6.35197313008706,2.1909316682793554,221.601203257166,0,0,769.9813824335504
HNRNPD,7.183973655204557,2.4503147702629886,221.36783917370516,0,0,769.6739413108224
NSF,6.062719575936784,2.058512628310741,221.2419741409081,0,0,769.5079756077232
PCBP1,7.147940289683074,2.4030943948226526,221.12442727592318,0,0,769.3528849797028
KIF5B,5.667035715883858,1.932232115795609,221.10777586337062,0,0,769.3309079166013
TRIM28,7.561573543879301,2.6146421620186784,220.8205593237533,0,0,768.9515453665634
CFL1,8.165553930432628,2.728300284361622,220.7137403354946,0,0,768.8103186374728
PSMA7,6.157176901867304,2.120725656318589,220.69395002203595,0,0,768.7841454123659
RPL10A,6.815668760509525,2.3255250995413372,220.64924711032273,0,0,768.7250151592732
ACTR3,6.841651805003106,2.2534395435882093,220.1674278533445,0,0,768.0868621925133
HSP90AA1,8.908456500523064,2.9777727325434817,220.14838658755062,0,0,768.0616113600914
CTNND1,6.590411602429475,2.1952192098005634,220.01177201145916,0,0,767.8803752730963
RPS11,7.441611794546346,2.4795956485564994,218.97997671748433,0,0,766.5075899963651
ATIC,6.921163216916706,2.321065336294771,217.1497042969191,0,0,764.0549948299672
PSMC3,5.458993021605716,1.878059939730692,216.48174538609229,0,0,763.1543031327938
KHSRP,6.8816064759846745,2.3458721025736535,215.8310049352405,0,0,762.2739148835268
DDX3X,6.543857117818172,2.2440672479161345,214.67235546010704,0,0,760.6992039475391
PFN1,8.248195924266323,2.7200030752080617,214.67217342132753,0,0,760.6989558147025
CTTN,6.665752771157489,2.251109940105661,214.6464296885937,0,0,760.6638628267679
FLNB,8.864216947567463,2.9376177323599153,214.07813194447417,0,0,759.8880115220111
PSMA6,6.218593308368752,2.1172507782754897,213.73731344869654,0,0,759.4216453649848
PRPF8,6.671478586716954,2.293993874404197,213.48730113109988,0,0,759.0790219778809
HNRNPA1,7.557169528485382,2.584064832247171,212.52863928554623,0,0,757.7611982186974
PARK7,6.920990193563771,2.2981314649765183,211.86179510155083,0,0,756.8407128934771
RAN,7.069715305823042,2.3939678612826816,211.30008165439511,0,0,756.0629054595138
PPIB,8.441658154243646,2.829642701978886,210.71470488416463,0,0,755.2499438814027
PSMC5,5.117763370499522,1.7612371179235042,209.57553525698808,0,0,753.6608512218028
TALDO1,7.785285480164618,2.5761164027425836,209.35582822872382,0,0,753.3532943574104
TUBA4A,6.258241683689315,2.0795316254784573,209.11547681691485,0,0,753.016438391275
EIF3D,4.700166849652428,1.59265409935582,208.47227283144912,0,0,752.1129157669413
RPS13,6.511997109121911,2.1999806325206728,208.03148184734133,0,0,751.4919856615842
ARF4,5.66503397255273,1.9304652519947636,207.53327751873147,0,0,750.7884658269463
HK1,7.817193895403121,2.5915558739122115,207.088447071875,0,0,750.1587732074721
NCL,9.00530617447856,3.082669105339356,206.53726156212488,0,0,749.3764985699477
PSMD13,5.485883794211509,1.8945441726136807,205.08367946414074,0,0,747.302644356919
PA2G4,6.637325782720559,2.2754301071264,204.7410520616214,0,0,746.8115040910245
ITGB1,6.900204117440964,2.327198809946965,204.67425666550398,0,0,746.7156529309416
KPNB1,6.382931842678699,2.1446274891146855,204.5279509290805,0,0,746.5055869672849
GAPDH,10.404210832683633,3.387417235169134,204.07918682398216,0,0,745.8602403385931
RANBP2,6.251845113345916,2.143445827632109,203.3466040195187,0,0,744.8034589386014
RPS15A,6.892541540518987,2.307515150153192,203.32481371928057,0,0,744.7719628251591
SERBP1,6.469107172127611,2.1798943113483715,203.3110329410628,0,0,744.7520419528491
RPS19,6.838904775724483,2.3553144468622755,203.0118525989009,0,0,744.3192020080579
AP2M1,5.696043285824779,1.8648561891465611,201.45497344893263,0,0,742.0556602210814
NME2,7.437182596394009,2.4898477008987516,201.1856881227212,0,0,741.6622416942565
RPS14,6.283352651194587,2.0609486743618257,200.99023881901303,0,0,741.3763414129129
USP9X,4.8944886777092025,1.663034575152811,200.94837619738422,0,0,741.3150666059995
USP5,6.13970292455538,2.087070045143915,200.91517853840008,0,0,741.2664650660694
RPS23,6.5834489841634705,2.231459765734063,200.09876923090113,0,0,740.0685189645187
RPS7,6.348110821308611,2.093503012564962,199.99623562253828,0,0,739.9176973702558
NUMA1,7.539858448723096,2.5829596785082103,199.30264558628045,0,0,738.895280703844
NPM1,8.606079360314554,2.865176184040489,199.2370173900258,0,0,738.798341180782
EEF1B2,5.94739024582524,1.9828215157620808,198.16186954011928,0,0,737.2053506448843
RAD23B,5.454399628163506,1.8888018562388247,197.99253940929304,0,0,736.953619746189
API5,5.238086435728903,1.8184391836330274,197.0585837419943,0,0,735.5610231263487
AHNAK,9.873077556337316,3.308680370650819,196.65804477628149,0,0,734.9616258838074
LMNB2,7.511984927358672,2.56287933347894,196.20699676873136,0,0,734.2850789580532
CTNNB1,6.414169498007122,2.1406407508662677,195.97285690647018,0,0,733.9332266434741
SF3B3,5.839231065367639,2.040592192216047,195.7387278105719,0,0,733.5809411965035
FARSB,5.655120737277875,1.9323051271984715,195.50344015553196,0,0,733.2264588423454
DCTN1,5.6801297323287026,1.9042940786950349,195.04320457494282,0,0,732.5317531105317
STIP1,7.324256421062433,2.531444033564535,194.8371419912358,0,0,732.220143247879
PSMA3,5.866863734568895,1.9784595558581095,194.69067494231092,0,0,731.9984404370266
ACTR2,5.779169821752357,1.928253781588133,194.64203436238853,0,0,731.9247752742242
