Geneid,logFC,AveExpr,t,P.Value,adj.P.Val,B
MATN2,-4.0570015526993695,5.124731168874917,-62.4318016264411,1.6782471072290043e-220,1.6451070377697985e-218,494.7454354996699
PDGFRA,-4.604203400646054,5.296640867373923,-62.4147814603978,1.8689656730962813e-220,1.8205371286110194e-218,494.63789626142443
FHL2,-4.492779919240363,5.564403760189155,-62.32456993539224,3.3077655765355153e-220,3.201917078086379e-218,494.06751571669275
TTLL3,-3.4694041213519697,5.033167323098498,-62.302063128456894,3.814486217814906e-220,3.669488356615979e-218,493.92510867183006
ATP6V0C,-4.095997619199428,5.730081699763317,-62.29127738596437,4.084198175502094e-220,3.904695144578792e-218,493.856849551624
FBXO7,-2.9732845522399183,5.107328844455588,-62.153636234974776,9.77478258012534e-220,9.287842490857747e-218,492.98493477060913
TLN1,-3.414766839971205,5.504322249877668,-62.088309757217566,1.4798581985894262e-219,1.3975636451068921e-217,492.570569975576
IDS,-2.687126946133745,4.865082885071653,-62.08666193139719,1.4954273122732982e-219,1.4037077704538692e-217,492.56011332965403
NLGN2,-3.5826820062614715,5.062273287240021,-61.997880210733,2.6290229234728296e-219,2.4529100625751314e-217,491.9964004436127
VEGFB,-3.389601724990689,5.182545204866961,-61.99043533923589,2.7564758409538182e-219,2.556425019442679e-217,491.9491004392024
ALKBH7,-3.655168638657408,5.044986450488767,-61.946255319330376,3.650921658458214e-219,3.3658020622738583e-217,491.66831500104445
PDCD4,-3.6352707926893846,5.356114336675281,-61.9226356709213,4.243075248461058e-219,3.88856505610443e-217,491.5181349782636
SIVA1,-2.7712419967187607,4.813061714338156,-61.90923863695468,4.6207796009766626e-219,4.209802027054503e-217,491.4329327034912
NFATC4,-3.932979317326048,5.111473272848515,-61.89196731717341,5.157855639203648e-219,4.671629715788661e-217,491.3230690430285
AK3,-2.6300482567865404,4.779838588252865,-61.86155717352978,6.260034698992843e-219,5.636942873139602e-217,491.12956913797905
EIF3G,-4.682206869303764,6.1543798314644445,-61.677876030376716,2.0197451186270022e-218,1.8081972483985555e-216,489.9591865232201
JTB,-3.830395010510231,5.568900987939709,-61.61649119989099,2.989337412010829e-218,2.6608538986910183e-216,489.56743324671146
GIGYF1,-3.2005208129042537,5.035515727229211,-61.60980685278026,3.11978809853337e-218,2.7611016040048476e-216,489.52475545902286
SLC8B1,-3.0107059311290993,4.920494111735923,-61.60885448159844,3.1388330233353353e-218,2.762173060535095e-216,489.5186745203955
HNRNPUL2,-2.7672812825303845,5.003090546755647,-61.59506316250291,3.4280480420187884e-218,2.999638874281751e-216,489.4306078378666
NXF1,-3.1108110806450004,5.170317261491441,-61.57298695973183,3.947616539967458e-218,3.43486994219191e-216,489.2896039579379
STX16,-3.4059404684740193,5.218371549033317,-61.49075793663523,6.679946328526714e-218,5.7798328902917175e-216,488.7640404071898
LRP3,-3.8503991656561545,4.982042386204734,-61.4857797457913,6.89621048419801e-218,5.93380599884771e-216,488.7322045162066
